title,price,location,link
Casa de condomínio em Avenida Deputado Federal Mário Eugênio - Parque Residencial Damha -,R$ 1.349.190,"Araraquara, Parque Residencial Damha",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-de-condominio-em-avenida-deputado-federal-mario-eugenio-parque-residencial-damha-1474664411
Apartamento em Rua Caetano Nigro - Vila Harmonia - Araraquara/SP,R$ 274.490,"Araraquara, Vila Harmonia",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-em-rua-caetano-nigro-vila-harmonia-araraquara-sp-1474663642
Apartamento à venda 3 quartos no Edifício Garden Place - Araraquara / SP,R$ 265.000,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-3-quartos-no-edificio-garden-place-araraquara-sp-1474655135
Apartamento à venda 3 quartos no Edifício Jardim Paulistano - Araraquara / SP,R$ 565.000,"Araraquara, Jardim Paulistano (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-3-quartos-no-edificio-jardim-paulistano-araraquara-sp-1474655099
"Apartamento á venda 2 suítes, Araraquara/SP",R$ 700.000,"Araraquara, Vila José Bonifácio",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-a-venda-2-suites-araraquara-sp-1474643288
Venda de Casas / Padrão na cidade de Araraquara,R$ 480.000,"Araraquara, Jardim Tinen",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-araraquara-1474643248
Venda de Casas / Condomínio na cidade de Araraquara,R$ 840.000,"Araraquara, Residencial Veredas do Campo",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1474643111
Venda de Apartamentos / Padrão na cidade de Araraquara,R$ 190.000,"Araraquara, Jardim Brasil (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-apartamentos-padrao-na-cidade-de-araraquara-1474642994
Venda de Casas / Condomínio na cidade de Araraquara,R$ 890.000,"Araraquara, Residencial Campos de Piemonte",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1474642991
"Apartamentos de alto padrão na Vila Sedenho, Araraquara",R$ 150.000,"Araraquara, Jardim São Rafael II",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamentos-de-alto-padrao-na-vila-sedenho-araraquara-1474642987
Venda de Casas / Condomínio na cidade de Araraquara,R$ 2.800.000,"Araraquara, Jardim Salto Grande",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-condominio-na-cidade-de-araraquara-1474643000
"Sobrado à venda, Residencial Quinta das Laranjeiras, Araraquara, SP",R$ 3.600.000,"Araraquara, Residencial e Comercial Quinta das Laranjeiras",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/sobrado-a-venda-residencial-quinta-das-laranjeiras-araraquara-sp-1474641298
Venda-Apartamento-Araraquara-Parque Residencial Iguatemi,R$ 155.000,"Araraquara, Parque Residencial Iguatemi",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-apartamento-araraquara-parque-residencial-iguatemi-1474615679
Venda-Apartamento-Araraquara-Vila Melhado,R$ 390.000,"Araraquara, Vila Melhado",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-apartamento-araraquara-vila-melhado-1474615618
Venda-Casa-Araraquara-Jardim Santa Clara (Vila Xavier),R$ 450.000,"Araraquara, Jardim Santa Clara (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-casa-araraquara-jardim-santa-clara-vila-xavier-1474615363
"Casa com 3 dormitórios à venda, 130 m² por R$ 690.000 - Parque Laranjeiras - Araraquara/SP",R$ 690.000,"Araraquara, Parque Laranjeiras",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-3-dormitorios-a-venda-130-m-por-r-690-000-parque-laranjeiras-araraquara-sp-1474610199
Casa para venda possui 90 metros quadrados com 3 quartos,R$ 450.000,"Araraquara, Jardim América (Vila Xavier)",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-para-venda-possui-90-metros-quadrados-com-3-quartos-1472282470
Oportunidade Única em ARARAQUARA - SP | Tipo: Apartamento | Negociação: Venda Online | Sit,R$ 87.819,"Araraquara, Jardim Residencial Paraíso",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-apartamento-negociacao-venda-online-sit-1474580211
Oportunidade Única em ARARAQUARA - SP | Tipo: Apartamento | Negociação: Venda Online | Sit,R$ 90.746,"Araraquara, Campos Ville",https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/oportunidade-unica-em-araraquara-sp-tipo-apartamento-negociacao-venda-online-sit-1474580162
