preco,area_m2,quartos,banheiros,vagas,localizacao,imovel
510000.0,178,3.0,2.0,1.0,"Vila Furlan, Araraquara",Casa
550000.0,221,4.0,3.0,3.0,"Jardim Adalgisa, Araraquara",comercial
105482.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
298000.0,63,2.0,2.0,1.0,"Centro, Araraquara",Apartamento
470000.0,180,3.0,3.0,3.0,"Vila Independência, Araraquara",comercial
250000.0,60,2.0,1.0,1.0,"Jardim Brasília (Vila Xavier), Araraquara",Apartamento
350000.0,93,3.0,2.0,2.0,"Vila Xavier (Vila Xavier), Araraquara",Apartamento
98371.0,46,2.0,1.0,1.0,"Jardim São Rafael II, Araraquara",Apartamento
200000.0,52,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
180000.0,43,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
372500.0,210,2.0,2.0,3.0,"Vila Yamada, Araraquara",Casa
170000.0,44,2.0,1.0,1.0,"Jardim Primor, Araraquara",Apartamento
322000.0,290,3.0,3.0,2.0,"Centro, Araraquara",comercial
120000.0,45,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
372500.0,210,2.0,2.0,3.0,"Vila Yamada, Araraquara",Casa
170000.0,44,2.0,1.0,1.0,"Jardim Primor, Araraquara",Apartamento
322000.0,290,3.0,3.0,2.0,"Centro, Araraquara",comercial
120000.0,45,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
370000.0,61,2.0,2.0,2.0,"Jardim Bounganville, Araraquara",Apartamento
310000.0,50,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
180000.0,44,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
990000.0,243,4.0,4.0,4.0,"Jardim Primavera, Araraquara",Sobrado
180000.0,45,2.0,1.0,1.0,"Vila Xavier (Vila Xavier), Araraquara",Apartamento
390000.0,51,2.0,1.0,2.0,"Estrela e Kanashiro, Araraquara",Apartamento
380000.0,174,3.0,2.0,4.0,"Jardim Santa Lúcia, Araraquara",comercial
514200.0,221,3.0,3.0,2.0,"Vila Sedenho, Araraquara",Casa
322000.0,52,2.0,1.0,1.0,"Jardim Magnólias, Araraquara",Apartamento
135000.0,49,2.0,1.0,1.0,"Jardim Universal, Araraquara",Apartamento
120000.0,53,2.0,1.0,1.0,"Jardim das Estações (Vila Xavier), Araraquara",Apartamento
270000.0,85,2.0,2.0,1.0,"Jardim Tinen, Araraquara",Apartamento
170000.0,44,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
80000.0,51,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
270000.0,173,1.0,1.0,2.0,"Jardim Santa Clara (Vila Xavier), Araraquara",comercial
270000.0,173,1.0,1.0,2.0,"Jardim Santa Clara (Vila Xavier), Araraquara",comercial
425000.0,190,3.0,1.0,1.0,"Centro, Araraquara",comercial
235000.0,53,2.0,1.0,1.0,"Jardim Residencial Paraíso, Araraquara",Apartamento
372000.0,53,2.0,1.0,1.0,"Vila Suconasa, Araraquara",Apartamento
